WaitType,Time,MillisecondsWaiting
Worker Thread,2018-01-14T06:00:00Z,5
Buffer IO,2018-01-14T07:00:00Z,754501
Buffer Latch,2018-01-14T07:00:00Z,262300
CPU,2018-01-14T07:00:00Z,1908152
Latch,2018-01-14T07:00:00Z,2848169
Lock,2018-01-14T07:00:00Z,0
Memory,2018-01-14T07:00:00Z,26920
Network IO,2018-01-14T07:00:00Z,17
OTHER,2018-01-14T07:00:00Z,41326175
Other Disk IO,2018-01-14T07:00:00Z,24811
Parallelism,2018-01-14T07:00:00Z,1676413
Preemptive,2018-01-14T07:00:00Z,26428
Replication,2018-01-14T07:00:00Z,0
SQL CLR,2018-01-14T07:00:00Z,0
Service Broker,2018-01-14T07:00:00Z,0
Tracing,2018-01-14T07:00:00Z,37
Tran Log IO,2018-01-14T07:00:00Z,4756562
Transaction,2018-01-14T07:00:00Z,0
Worker Thread,2018-01-14T07:00:00Z,9
Buffer IO,2018-01-14T08:00:00Z,650152
Buffer Latch,2018-01-14T08:00:00Z,230219
CPU,2018-01-14T08:00:00Z,2049314
Latch,2018-01-14T08:00:00Z,2902358
Lock,2018-01-14T08:00:00Z,0
Memory,2018-01-14T08:00:00Z,22851
Network IO,2018-01-14T08:00:00Z,24
OTHER,2018-01-14T08:00:00Z,40220078
Other Disk IO,2018-01-14T08:00:00Z,16224
Parallelism,2018-01-14T08:00:00Z,1664950
Preemptive,2018-01-14T08:00:00Z,23085
Replication,2018-01-14T08:00:00Z,0
SQL CLR,2018-01-14T08:00:00Z,0
Service Broker,2018-01-14T08:00:00Z,0
Tracing,2018-01-14T08:00:00Z,425
Tran Log IO,2018-01-14T08:00:00Z,4413074
Transaction,2018-01-14T08:00:00Z,0
Worker Thread,2018-01-14T08:00:00Z,0
Buffer IO,2018-01-14T09:00:00Z,709374
Buffer Latch,2018-01-14T09:00:00Z,120185
CPU,2018-01-14T09:00:00Z,1623457
Latch,2018-01-14T09:00:00Z,2079472
Lock,2018-01-14T09:00:00Z,0
Memory,2018-01-14T09:00:00Z,24006
Network IO,2018-01-14T09:00:00Z,68
OTHER,2018-01-14T09:00:00Z,44760209
Other Disk IO,2018-01-14T09:00:00Z,10258
Parallelism,2018-01-14T09:00:00Z,1477627
Preemptive,2018-01-14T09:00:00Z,27914
Replication,2018-01-14T09:00:00Z,0
SQL CLR,2018-01-14T09:00:00Z,0
Service Broker,2018-01-14T09:00:00Z,0
Tracing,2018-01-14T09:00:00Z,137
Tran Log IO,2018-01-14T09:00:00Z,3979173
Transaction,2018-01-14T09:00:00Z,0
Worker Thread,2018-01-14T09:00:00Z,161
Buffer IO,2018-01-14T10:00:00Z,540805
Buffer Latch,2018-01-14T10:00:00Z,70126
CPU,2018-01-14T10:00:00Z,1891764
Latch,2018-01-14T10:00:00Z,1782353
Lock,2018-01-14T10:00:00Z,1632
Memory,2018-01-14T10:00:00Z,21965
Network IO,2018-01-14T10:00:00Z,361
OTHER,2018-01-14T10:00:00Z,46477124
Other Disk IO,2018-01-14T10:00:00Z,13529
Parallelism,2018-01-14T10:00:00Z,1421983
Preemptive,2018-01-14T10:00:00Z,34605
Replication,2018-01-14T10:00:00Z,0
SQL CLR,2018-01-14T10:00:00Z,0
Service Broker,2018-01-14T10:00:00Z,0
